Start Date,تاريخ البدء,
Start Import,بدء الاستيراد,
State,الحالة,
Stopped,متوقف,
Subject,الموضوع,
Submit,تأكيد,
Successful,ناجح,
Summary,الملخص,
Sunday,يوم الأحد,
System Manager,مدير النظام,
Target,الهدف,
Task,المهمة,
Tax Category,الفئة الضريبية,
Test,اختبار,
Thank you,شكرا,
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,الصفحة التي تبحث عنها مفقوده. قد يكون هذا اما بسبب نقله أو أن هناك خطأ مطبعي في الارتباط.,
Timespan,الفترة الزمنية,
To,إلى,
To Date,إلى تاريخ,
Tools,أدوات,
Traceback,Traceback,
URL,رابط الانترنت,
Unsubscribed,إلغاء اشتراكك,
Use Sandbox,استخدام ساندبوكس,
User,المستخدم,
User ID,تعريف المستخدم,
Users,المستخدمين,
Validity,الصلاحية,
Warning,تحذير,
Website,الموقع,
Website Manager,مدير الموقع,
Website Settings,إعدادات الموقع,
Wednesday,يوم الأربعاء,
Week,الأسبوع,
Weekdays,أيام الأسبوع,
Weekly,الأسبوعية,
Welcome email sent,رسالة الترحيب تم أرسالها,
Workflow,سير العمل,
You need to be logged in to access this page,تحتاج إلى تسجيل الدخول للوصول إلى هذه الصفحة,
old_parent,old_parent,
{0} is mandatory,{0} إلزامي,
 to your browser,لمتصفحك,
"""Company History""","""نبذة عن الشركة""",
"""Parent"" signifies the parent table in which this row must be added","""الاصل"" يشير الى الجدول الأصلي الذي يجب اضافة هذا الصف اليه",
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة""",
&lt;head&gt; HTML,HTML,
'In Global Search' not allowed for type {0} in row {1},"""في البحث العالمي"" غير مسموح للنوع {0} في الصف {1}",
'In List View' not allowed for type {0} in row {1},'في عرض القائمة' غير مسموح للنوع {0} في الصف {1},
'Recipients' not specified,لم يتم تحديد &quot;المستلمين&quot;,
(Ctrl + G),(كنترول + G),
** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2},
**Currency** Master,سجل  **العملات**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسودّة؛ 1 - تأكيد؛ 2 - ملغي,
0 is highest,0 أعلى قيمة,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,وحدة واحدة من العملة = ؟ أجزاء صغيرة من العملة. على سبيل المثال : 1 ريال سعودي = 100 هللة.,
1 comment,تعليق واحد,
1 hour ago,منذ 1 ساعة,
1 minute ago,منذ 1 دقيقة,
1 month,شهر واحد,
1 month ago,قبل شهر,
1 week,أسبوع 1,
1 year,1 سنة,
1 year ago,منذ سنة,
3 months,3 اشهر,
6 months,6 اشهر,
; not allowed in condition,; غير مسموح به في حالة,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4> افتراضي قالب <!-- H4--> \n <p> ويستخدم <a href=""http://jinja.pocoo.org/docs/templates/""> جينجا قالبي templating </a> وجميع مجالات عنوان ( بما في ذلك الحقول المخصصة إن وجدت) سوف تكون متاحة <!-- P--> \n &lt;قبل&gt; &lt;كود&gt; {{address_line1}} العلامة &amp; lt؛ BR &amp; GT؛ \n {٪ إذا address_line2٪} {{address_line2}} العلامة &amp; lt؛ BR &amp; GT؛ { ENDIF٪ -٪} \n {{مدينة}} العلامة &amp; lt؛ BR &amp; GT؛ \n {٪ إذا الدولة٪} {{دولة}} العلامة &amp; lt؛ BR &amp; GT؛ {٪ ENDIF -٪} \n {٪ إذا كان الرقم السري٪} PIN: {{الرقم السري}} العلامة &amp; lt؛ BR &amp; GT؛ {٪ ENDIF -٪} \n {{البلاد}} العلامة &amp; lt؛ BR &amp; GT؛ \n {٪ إذا كان الهاتف٪} الهاتف: {{هاتف}} العلامة &amp; lt؛ BR &amp; GT؛ { ٪ ENDIF -٪} \n {٪ إذا الفاكس٪} فاكس: {{الفاكس}} العلامة &amp; lt؛ BR &amp; GT؛ {٪ ENDIF -٪} \n {٪ إذا٪ email_id} البريد الإلكتروني: {{email_id}} العلامة &amp; lt؛ BR &amp; GT ؛ {٪ ENDIF -٪} \n <!-- الرمز--> <!-- PRE--></p></h4>",
A Lead with this Email Address should exist,يجب أن يوجد عميل رسمي مع عنوان البريد الإلكتروني هذا,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,قائمة الموارد التي تسمح بوصول تطبيق العميل اليها بعد سماح المستخدم بذلك. <br> على سبيل المثال مشروع,
A log of request errors,سجل من الاخطاء المطالب بها,
A new account has been created for you at {0},تم إنشاء حساب جديد لك في {0},
A symbol for this currency. For e.g. $,رمز لهذه العملة. ر.س مثلاً,
A word by itself is easy to guess.,كلمة في حد ذاتها هي سهلة التخمين.,
API Endpoint Args,نقطة وصول API Args,
API Key cannot be  regenerated,لا يمكن إعادة إنشاء مفتاح API,
API Password,API كلمة مرور,
API Secret,كلمة مرور API,
API Username,اسم مستخدم API,
ASC,تصاعدي,
About,حول,
About Us Settings,إعدادات صفحة من نحن,
About Us Team Member,أعضاء فريق صفحة من نحن,
Accept Payment,يوافق على الدفع,
Access Key ID,معرف مفتاح الوصول,
Access Token URL,رابط رمز الدخول,
Action Failed,فشل العمل,
Action Timeout (Seconds),مهلة الإجراء (ثانية),
"Actions for workflow (e.g. Approve, Cancel).","اجراءات سير العمل مثال : الموافقة,الرفض",
Active Domains,المجالات الفعالة,
Active Sessions,الجلسات الفعالة,
Activity Log,سجل النشاط,
Activity log of all users.,سجل النشاط لجميع المستخدمين.,
Add / Manage Email Domains.,إضافة / إدارة مجالات البريد الإلكتروني.,
Add / Update,إضافة / تحديث,
Add A New Rule,إضافة قاعدة جديدة,
Add Another Comment,إضافة تعليق آخر,
Add Attachment,إضافة مرفق,
Add Column,إضافة عمود,
Add Contact,إضافة جهة اتصال,
Add Contacts,اضف جهات اتصال,
Add Filter,إضافة تصفية (فلترة),
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,(UA-89XXX57-1)اضافة رقم تعريفي لتحليلات \nمن فضلك ابحث في المساعدة لتحليلات جوجل لمزيد من المعلومات,
Add Group,إضافة مجموعة,
Add New Permission Rule,إضافة قاعدة صلاحية جديدة,
Add Review,إضافة مراجعة,
Add Signature,إضافة التوقيع,
Add Subscribers,إضافة مشتركين,
Add Total Row,إضافة صف الإجمالي,
Add Unsubscribe Link,إضافة رابط إلغاء الاشتراك,
Add User Permissions,إضافة صلاحيات المستخدم,
Add a New Role,إضافة دور جديد,
Add a column,إضافة عمود,
Add a comment,إضافة تعليق,
Add a new section,إضافة قسم جديد,
Add a tag ...,أضف علامة دلائلية ...,
Add all roles,إضافة كافة الأدوار,
Add code as &lt;script&gt;,إضافة التعليمات البرمجية كما &lt;script&gt;,
Add custom forms.,إضافة نماذج مخصصة.,
Add custom javascript to forms.,إضافة جافا سكريبت مخصص الى النماذج,
Add fields to forms.,إضافة حقول إلى النماذج.,
Add meta tags to your web pages,أضف علامات التعريف إلى صفحات الويب الخاصة بك,
Add script for Child Table,إضافة نص للجدول التابع,
Add to To Do,إضافة إلى المهام,
Add to table,إضافة إلى الجدول,
Add your own Tag Categories,إضافة تصنيف العلامة الدلائلية الخاصة بك,
Add your own translations,أضف الترجمة  الخاصة بك,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",وأضاف HTML في القسم &lt;head&gt; من صفحة الويب، تستخدم في المقام الأول للتحقق من الموقع وSEO,
Added {0},تمت الإضافة {0},
Adding System Manager to this User as there must be atleast one System Manager,لابد من إضافة صلاحية مدير النظام لهذا المستخدم لانه لابد أن يكون هناك على الأقل مستخدم واحد لهذه الصلاحية,
Additional Permissions,ضوابط إضافية,
Address Template,نموذج العنوان,
Address Title is mandatory.,اسم العنوان إلزامي.,
Address and other legal information you may want to put in the footer.,العنوان وغيرها من المعلومات القانونية قد تحتاج لوضعها في تذييل الصفحة.,
Addresses And Contacts,العناوين و جهات الاتصال,
Adds a client custom script to a DocType,إضافة نص مخصص لعميل إلى DocType,
Adds a custom field to a DocType,DocType  اضافة حقل مخصص ل,
Admin,المشرف,
Administrator Logged In,تسجيل دخول مسؤول النظام,
Administrator accessed {0} on {1} via IP Address {2}.,.{2} المسؤول سمح له بالدخول  {0} في {1} عبر عنوان IP,
Advanced,متقدم,
Advanced Control,تحكم متقدم,
Advanced Search,البحث المتقدم,
Align Labels to the Right,محاذاة التسميات إلى اليمين,
Align Value,محاذاة القيمة,
All Images attached to Website Slideshow should be public,يجب أن تكون جميع الصور الملحقة لموقع معرض الصور على العام,
All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.,
All fields are necessary to submit the comment.,جميع الحقول ضرورية لتقديم التعليق.,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","جميع حالات سير العمل الممكنة وأدوار سير العمل. خيارات Docstatus: 0  ""محفوظ"" (1)،  ""مقدم"" و 2  ""ألغي""",
All-uppercase is almost as easy to guess as all-lowercase.,جميع الأحرف الكبيرة تكون سهلة التخمين تقريبا كالأحرف الصغيرة,
Allocated To,المخصصة ل,
Allow,السماح,
Allow Bulk Edit,السماح بتحرير المجلد,
Allow Comments,السماح بالتعليقات,
Allow Consecutive Login Attempts ,المحاولات المسموح به لتسجبل الدخول,
Allow Dropbox Access,السماح بدخول Droopbox,
Allow Edit,السماح بالتعديل,
Allow Guest to View,السماح للزائر بالعرض,
Allow Import (via Data Import Tool),السماح بالاستيراد (عبر أداة استيراد البيانات),
Allow Incomplete Forms,السماح للنماذج الغير مكتمله,
Allow Login After Fail,السماح بتسجيل الدخول بعد الفشل,
Allow Login using Mobile Number,السماح بتسجيل الدخول باستخدام رقم الجوال,
Allow Login using User Name,السماح بتسجيل الدخول باستخدام اسم المستخدم,
Allow Modules,السماح للوحدات النمطية,
Allow Multiple,السماح بالتعدد,
Allow Print,السماح للطباعة,
Allow Print for Cancelled,السماح بالطباعة للملغي,
Allow Print for Draft,السماح بالطباعة للمسودة,
Allow Read On All Link Options,السماح للقراءة على كل خيارات الارتباط,
Allow Rename,السماح بإعادة التسمية,
Allow Roles,الصلاحيات المسموح بها,
Allow Self Approval,السماح بالموافقة الذاتية,
Allow approval for creator of the document,السماح بالموافقة على منشئ الوثيقة,
Allow events in timeline,السماح للأحداث في المخطط الزمني,
Allow in Quick Entry,السماح لأدخال سريع,
Allow on Submit,السماح بالإعتماد,
Allow only one session per user,السماح لجلسة واحدة فقط لكل مستخدم,
Allow page break inside tables,السماح بفواصل الصفحات داخل الجداول,
Allow saving if mandatory fields are not filled,يسمح بحفظ البيانات في حالة عدم ملئ الحقول الإلزامية,
Allow user to login only after this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط بعد هذه الساعة (0-24),
Allow user to login only before this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط قبل هذه الساعة (0-24),
Allowed,مسموح,
Allowed In Mentions,السماح في التذكير,
"Allowing DocType, DocType. Be careful!",السماح DOCTYPE ، DOCTYPE . كن حذرا!,
Already Registered,مسجل بالفعل,
Already in user's To Do list,موجود بالفعل في قائمة المهام الواجبة للمستخدم,
Also adding the dependent currency field {0},إضافة حقل العملة التابعة {0},
"Always add ""Draft"" Heading for printing draft documents","دائما إضافة راس لصفحة""المسودة"" عند طباعة المسودات",
Always use Account's Email Address as Sender,استخدم دائماً حساب البريد الألكتروني كمرسل,
Always use Account's Name as Sender's Name,استخدم دائمًا اسم الحساب كاسم المرسل,
Amend,تعديل,
Amending,المعدل,
Amount Based On Field,المبلغ استنادا إلى الحقل,
Amount Field,حقل المبلغ,
Amount must be greater than 0.,يجب أن يكون المبلغ أكبر من 0.,
An error occured during the payment process. Please contact us.,حدث خطأ أثناء عملية الدفع. الرجاء التواصل معنا.,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ملف أيقونة بصيغة ico.  يجب أن تكون 16 × 16 بكسل. تم إنشاؤها باستخدام مولد أيقونات. [favicon-generator.org],
Ancestors Of,أجداد ل,
Another transaction is blocking this one. Please try again in a few seconds.,معاملة أخرى بتحظر هذه الاولى. يرجى المحاولة مرة أخرى في بضع ثوان.,
"Another {0} with name {1} exists, select another name",آخر {0} مع اسم {1} موجودا، حدد اسم آخر,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,يمكن استخدام أي لغة الطابعة الوثيقةة إلى سلسلة. تتطلب كتابة الأوامر الأولية معرفة اللغة الأصلية للطابعة التي توفرها الشركة المصنعة للطابعة. يرجى الرجوع إلى دليل المطور الذي توفره الشركة المصنعة للطابعة حول كيفية كتابة الأوامر الأصلية. يتم تقديم هذه الأوامر على جانب الخادم باستخدام Jinja Templating Language.,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",بصرف النظر عن مدير النظام ، مجموعة أذونات وصلاحيات المستخدم  يمكن تعيينها  لمستخدمين اخرين لنفس نوع الوثيقة .,
Api Access,الوصول إلى Api,
App,تطبيق,
App Access Key,مفتاح وصول التطبيق,
App Client ID,هوية تعريف عميل التطبيق,
App Client Secret,كلمة مرور التطبيق الثانوي,
App Name,اسم التطبيق,
App Secret Key,المفتاح السري للتطبيق,
App not found,لم يتم العثور على التطبيق,
App {0} already installed,التطبيق {0} مثبت مسبقا,
App {0} is not installed,لم يتم تثبيت التطبيق {0},
Append To,أرفق ل,
Append To can be one of {0},أرفق ل يمكن أن يكون واحدا من {0},
Append To is mandatory for incoming mails,أرفق ل يفتبرإلزامي للايميلات الواردة,
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","إضافة كإتصال ضد نوع الوثيقة ( يجب أن يتضمن على الحقول ، ""الحالة"" ، ""الموضوع"")",
Applicable Document Types,أنواع الوثائق القابلة للتطبيق,
Apply,تطبيق,
Apply Strict User Permissions,تطبيق صلاحيات المستخدم المحدودة,
Apply To All Document Types,تنطبق على جميع أنواع الوثائق,
Apply this rule if the User is the Owner,تطبيق هذا الشرط إذا كان المستخدم هو المالك,
Apply to all Documents Types,تنطبق على جميع أنواع الوثائق,
Appreciate,يقدر,
Appreciation,تقدير,
Archive,الأرشيف,
Archived,أرشفة,
Archived Columns,أعمدة من الأرشيف,
Are you sure you want to delete the attachment?,هل أنت متأكد أنك تريد حذف المرفق؟,
Are you sure you want to relink this communication to {0}?,هل أنت متأكد أنك تريد إعادة ربط هذه الاتصالات إلى {0}؟,
Are you sure?,هل أنت متاكد؟,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",كافضل ممارسة ، لا تعين نفس شرط دور الصلاحيه لأدوار مختلفة. بدلا من ذلك ، عين أدوار متعددة لنفس العضو,
Assign Condition,تعيين الشرط,
Assign To Users,احالة للمستخدمين,
"Assign one by one, in sequence",تعيين واحد تلو الآخر ، في التسلسل,
Assign to me,محالة لي,
Assign to the one who has the least assignments,تكلف للشخص الذي لديه أقل المهام,
Assigned,تمت الاحالة,
Assigned By,احيل بواسطة,
Assigned By Full Name,محالة بواسطة الاسم كامل,
Assigned By Me,محالة لي,
Assigned To,احالة الى كل من,
Assigned To/Owner,احالة الى / المصدر,
Assignment,المهمة,
Assignment Complete,اكتمال المهمة,
Assignment Completed,تم إنجاز المهمة,
Assignment Rule,شرط المهمة,
Assignment Rule User,مستخدم شرط المهمة,
Assignment Rules,شروط التعيين ,
Assignment closed by {0},المهمه اغلقت من قبل {0},
Assignment for {0} {1},احالة لـ {0} {1},
Atleast one field of Parent Document Type is mandatory,على الأقل حقل واحد من &quot;نوع الوثيقة الأصل&quot; إلزامي,
Attach,إرفاق,
Attach Document Print,إرفاق طباعة الوثيقة,
Attach Image,إرفاق صورة,
Attach Print,إرفق طباعة,
Attach Your Picture,إرفاق صورتك,
Attach file for Import,إرفاق ملف للاستيراد,
Attach files / urls and add in table.,إرفاق الملفات / عناوين واضافة في الجدول.,
Attached To DocType,مرفق لDocType,
Attached To Field,مرفق إلى حقل,
Attached To Name,أرفقت للأسم,
Attachment Limit (MB),الحجم المسموح للمرفق (MB),
Attachment Removed,تم حذف المرفق,
Attempting Connection to QZ Tray...,محاولة الاتصال بـ QZ Tray ...,
Attempting to launch QZ Tray...,محاولة إطلاق QZ Tray ...,
Auth URL Data,بيانات عنوان المصادقة,
Authenticating...,مصادقة ...,
Authentication,المصادقة,
Authentication Apps you can use are: ,تطبيقات المصادقة التي يمكنك استخدامها هي:,
Authentication Credentials,مصادقة بيانات الاعتماد,
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},فشل المصادقة في حين تلقي رسائل البريد الإلكتروني من البريد الإلكتروني حساب {0}. رسالة من الخادم: {1},
Authorization Code,رمز الترخيص,
Authorize URL,مصادقة عنوان URL,
Authorized,مصدق,
Auto,تلقائى,
Auto Email Report,ارسال التقارير عبر البريد الالكتروني الياً,
Auto Name,الإسم التلقائي,
Auto Reply Message,رد تلقائي على الرسائل,
Auto assignment failed: {0},فشلت الاحالة التلقائية: {0},
Automatically Assign Documents to Users,احالة الوثائق تلقائيًا للمستخدمين,
Automation,التشغيل الآلي,
Avatar,الصورة الرمزية,
Average,المتوسط,
Average of {0},متوسط {0},
Avoid dates and years that are associated with you.,تجنب التواريخ والسنوات التي ترتبط معك.,
Avoid recent years.,تجنب السنوات الأخيرة.,
Avoid sequences like abc or 6543 as they are easy to guess,تجنب تسلسل مثل abc أو 6543 كما أنها سهلة لتخمين,
Avoid years that are associated with you.,تجنب السنوات التي ترتبط معك.,
Awaiting Password,في انتظار كلمة المرور,
Away,بالخارج,
BCC,BCC,
Back to Desk,العودة الى المكتب,
Back to Login,العودة إلى تسجيل الدخول,
Background Color,لون الخلفية,
Background Email Queue,قائمة معالجة البريد الإلكتروني,
Background Jobs,خلفية عن الخبرات السابقة,
Background Workers,خلفية عن العمال,
Backup,النسخ الاحتياطي,
Backup Frequency,معدل النسخ الاحتياطي,
Backup Limit,الحد للنسخ الاحتياطي,
Backup job is already queued. You will receive an email with the download link,وظيفة النسخ الاحتياطي بالفعل في قائمة الانتظار. سوف تتلقى رسالة بريد إلكتروني مع رابط التحميل,
Backups,النسخ الاحتياطية,
Banner,شعار ,
Banner HTML,شعار HTML,
Banner Image,شعار صورة,
Banner is above the Top Menu Bar.,لافته فوق أعلى شريط القوائم.,
Bar,شريط,
Base Distinguished Name (DN),قاعدة الاسم المعرف (DN),
Based on Permissions For User,اعتماداً على صلاحيات المستخدم,
Beta,Beta,
Better add a few more letters or another word,من الأفضل إضافة بضعة أحرف أو كلمة أخرى,
Between,ما بين,
Bio,نبذة,
Birth Date,تاريخ الميلاد,
Block Module,حظر الوحدة,
Block Modules,حظر وحدات,
Blocked,محجوب,
Blog,مدونة,
Blog Category,تصنيف المدونة,
Blog Intro,بدايه المدونه,
Blog Introduction,مقدمة المدونه,
Blog Post,منشور المدونه,
Blog Settings,إعدادات المدونه,
Blog Title,عنوان المدونه,
Blogger,مدون,
Bot,آلي,
Both DocType and Name required,كل ال DOCTYPE والاسم مطلوبة,
Both login and password required,كل من تسجيل الدخول وكلمة المرور مطلوبة,
Bounced,رد,
Braintree Settings,إعدادات Braintree,
Braintree payment gateway settings,إعدادات بوابة الدفع Braintree,
Brand HTML,العلامة التجارية HTML,
Brand Image,صورة العلامة التجارية,
Breadcrumbs,مسار التصفح,
Browser not supported,المتصفح غير مدعوم,
Brute Force Security,امن القوة الغاشمة,
Bucket,Bucket,
Build Report,بناء تقرير,
Bulk Delete,حذف حقل,
Bulk Edit {0},تعديل حقل {0},
Bulk Rename,إعادة تسمية حقل,
Bulk Update,تحديث الحقول,
Busy,مشغول,
Button,زر,
Button Help,زر المساعدة,
Button Label,زر ملصق,
Bypass Two Factor Auth for users who login from restricted IP Address,تجاوز عامل المصادقة الثنائيه للمستخدمين الذين عملوا تسجيل الدخول من عنوان IP مقيدة,
Bypass restricted IP Address check If Two Factor Auth Enabled,تجاوز عنوان IP المقيد تحقق اذا عامل المصادقة الثنائيه في حالة تمكين,
CC,CC,
"CC, BCC & Email Template",CC ، BCC وقالب البريد الإلكتروني,
CSS,CSS,
CSV,CSV,
Cache Cleared,تحديث الصفحة,
Calculate,إحتسب,
Calendar Name,اسم التقويم,
Calendar View,عرض التقويم,
Call,إتصال,
Can Read,يمكنه القراءة,
